Designator,Mid X,Mid Y,Rotation,Layer
C1,188.72,-36.6,0.0,bottom
C10,192.0,-52.37,270.0,bottom
C11,187.95,-46.92,270.0,bottom
C12,197.6,-47.37,270.0,bottom
C13,192.05,-38.63,90.0,bottom
C14,187.52,-40.076,0.0,bottom
C15,198.7,-47.37,270.0,bottom
C16,205.54,-34.24,0.0,bottom
C17,205.21,-38.09,0.0,bottom
C18,202.75,-40.47,90.0,bottom
C19,200.05,-50.22,90.0,bottom
C2,196.19,-51.28,90.0,bottom
C20,198.18,-42.25,180.0,bottom
C21,198.88,-54.6,90.0,bottom
C22,199.84,-44.76,90.0,top
C23,203.07,-36.155,90.0,bottom
C24,201.1,-36.965,90.0,bottom
C3,195.15,-51.29,270.0,bottom
C4,190.09675,-38.823518,90.0,bottom
C5,193.55,-38.2,180.0,bottom
C6,190.8,-52.37,270.0,bottom
C7,205.22,-37.04,180.0,bottom
C8,189.08075,-38.823518,90.0,bottom
C9,187.52,-41.6,0.0,bottom
D1,204.95,-48.15,180.0,bottom
D2,185.85,-53.225,90.0,bottom
D3,185.8,-40.425,270.0,bottom
F1,199.17,-36.16,270.0,bottom
J1,202.72,-37.62,270.0,top
J2,191.0,-56.0,270.0,top
J3,191.175,-50.8,90.0,top
J4,191.025,-37.55,90.0,top
J5,185.5,-45.3,180.0,top
R1,187.5,-53.59,270.0,bottom
R10,206.4,-40.81,270.0,bottom
R11,204.1,-40.49,90.0,bottom
R12,201.2375,-48.1,0.0,bottom
R13,187.59,-39.0,0.0,bottom
R14,185.29,-38.1,180.0,bottom
R15,185.39,-36.8,180.0,bottom
R16,206.64,-42.35,90.0,top
R2,189.16,-49.8,180.0,bottom
R3,190.99,-32.8,0.0,bottom
R4,190.99,-31.6,0.0,bottom
R5,192.4,-35.675,270.0,bottom
R6,190.7,-35.675,270.0,bottom
R7,193.59,-51.74,0.0,bottom
R8,198.3,-50.49,90.0,bottom
R9,199.84,-52.25,180.0,bottom
U1,187.25,-33.45,270.0,bottom
U2,196.27,-36.3075,270.0,bottom
U3,192.8625,-45.0625,0.0,bottom
U4,204.5275,-32.08,180.0,bottom
U5,203.0875,-50.95,180.0,bottom
U6,199.4978,-40.35,180.0,bottom
U7,202.15,-44.6,0.0,bottom
U8,201.865,-51.95,90.0,top
U9,202.15,-45.8925,270.0,top
UNK1,197.25,-31.933,180.0,bottom
Y1,194.85,-54.15,180.0,bottom
